"FRONTEND_MC_PM_CARDSSAVED", "Credit Card"
"FRONTEND_PM_CC", "Credit Card"
"FRONTEND_MC_PM_DDSAVED", "Direct Debit"
"FRONTEND_PM_DD", "Direct Debit"
"FRONTEND_PM_GIROPAY", "Giropay"
"FRONTEND_PM_KLARNAPAYLATER", "Pay later."
"FRONTEND_PM_KLARNASLICEIT", "Slice it."
"FRONTEND_PM_PAYDIREKT", "paydirekt"
"FRONTEND_MC_PM_PAYPALSAVED", "PayPal"
"FRONTEND_PM_PAYPAL", "PayPal"
"FRONTEND_PM_KLARNAOBT", "Online Bank Transfer."
"FRONTEND_PM_EASYCREDIT", "easyCredit-Ratenkauf"
"FRONTEND_PM_ENTERPAY", "Purchase on account TEBA Pay"

"FRONTEND_TT_KLARNAPAYLATER", "Pay later."
"FRONTEND_TT_KLARNASLICEIT", "Slice it."
"FRONTEND_TT_KLARNASLICEIT_FLEXIBEL", "Flexible - Pay at your own pace"
"FRONTEND_TT_KLARNASLICEIT_INTEREST", "Interest Rate : %1 %"
"FRONTEND_TT_KLARNASLICEIT_MONTHLY_FEE", "Monthly Installment : %1 / Month"
"FRONTEND_TT_KLARNASLICEIT_MONTHLY_PAY", "Minimum Installment Rate for this Order: %1 / Month"
"FRONTEND_TT_KLARNA_TERM1", "Mit der Übermittlung der für die Abwicklung der gewählten Klarna Zahlungsmethode und einer Identitätsund Bonitätsprüfung erforderlichen Daten an Klarna bin ich einverstanden. Meine"
"FRONTEND_TT_KLARNA_TERM2", "kann ich jederzeit mit Wirkung für die Zukunft widerrufen."

"ERROR_EASYCREDIT_FUTURE_DOB", "Date of birth should not be set in the future."
"ERROR_EASYCREDIT_PARAMETER_DOB", "Please enter your date of birth in order to use easyCredit."
"ERROR_MESSAGE_EASYCREDIT_AMOUNT_NOTALLOWED", "The financing amount is outside the permitted amounts (200 - 10,000 EUR)"
"ERROR_EASYCREDIT_BILLING_NOTEQUAL_SHIPPING", "In order to be able to pay with easyCredit, the delivery address must match the invoice address."
"ERROR_MESSAGE_EASYCREDIT_BEFORE_PAYMENT", "Please make sure your payment method is correct!"
"ERROR_MESSAGE_EASYCREDIT_PARAMETER_GENDER", "Please enter your gender to make payment with easyCredit."

"FRONTEND_CC_HELP", "Help"
"FRONTEND_CC_CVCHELP", "What is the Card Validation Code (CVC)?"
"FRONTEND_TT_CVC", "This is the Card Security Code which consists of the last three digits in or next to the signature field on the back of your credit card."
"FRONTEND_TT_CVCAMEX", "For Amex cards it is the four-digit number printed above the embossed card number (on the right or left side) on the front of your credit card."

"VRPAYECOMMERCE_BACKEND_GENERAL_TITLE", "VR pay eCommerce"
"BACKEND_CH_GENERAL", "General Setting"
"BACKEND_GENERAL_PAYMENT_METHODS", "Payment Methods"
"BACKEND_PM_CC_SAVED", "Credit Card (Recurring)"
"BACKEND_PM_CC", "Credit Card"
"BACKEND_PM_DD_SAVED", "Direct Debit (Recurring)"
"BACKEND_PM_DD", "Direct Debit"
"BACKEND_PM_GIROPAY", "Giropay"
"BACKEND_PM_KLARNA_PAYLATER", "Pay later."
"BACKEND_PM_KLARNA_SLICEIT", "Slice it."
"BACKEND_PM_PAYDIREKT", "paydirekt"
"BACKEND_PM_PAYPALSAVED","PayPal (Recurring)"
"BACKEND_PM_PAYPAL", "PayPal"
"BACKEND_PM_SOFORTBANK", "Online Bank Transfer."
"BACKEND_PM_EASYCREDIT", "easyCredit-Ratenkauf"
"BACKEND_PM_ENTERPAY", "Purchase on account TEBA Pay"

"BACKEND_CH_ACTIVE","Enabled"
"BACKEND_CH_SERVER", "Server"
"BACKEND_CH_MODE", "Transaction-Mode"
